"Customer Care","Customer Care"
"VIP Program","VIP Program"
"Enable VIP Program","Enable VIP Program"
"Bronze threshold (lifetime spend)","Bronze threshold (lifetime spend)"
"Silver threshold (lifetime spend)","Silver threshold (lifetime spend)"
"Gold threshold (lifetime spend)","Gold threshold (lifetime spend)"
"Customer Type","Customer Type"
"Internal Notes","Internal Notes"
"VIP Level","VIP Level"
"Lifetime Spent","Lifetime Spent"
"Manage Customer Care (REST)","Manage Customer Care (REST)"
"-- Please Select --","-- Please Select --"
"B2C (Individual)","B2C (Individual)"
"B2B (Business)","B2B (Business)"
"Wholesale","Wholesale"
"None","None"
"Bronze","Bronze"
"Silver","Silver"
"Gold","Gold"
