"EU VAT","TVA UE"
"EU VAT Configuration","Configuration de la TVA UE"
"Enable EU VAT Validation","Activer la validation de TVA UE"
"VIES WSDL URL","URL du service WSDL VIES"
"Request Timeout (seconds)","Délai d'attente (secondes)"
"Maximum time in seconds to wait for a VIES response.","Durée maximale d'attente pour une réponse VIES."
"URL of the European Commission VIES SOAP service.","URL du service SOAP VIES de la Commission européenne."
"Validate a European VAT number against the VIES web service.","Valider un numéro de TVA européen contre le service web VIES."
"The two-letter ISO country code (e.g. FR)","Le code ISO pays à deux lettres (ex. FR)"
"The VAT number without the country prefix","Le numéro de TVA sans le préfixe pays"
"VAT validation with ID \"%1\" does not exist.","La validation de TVA avec l'ID \"%1\" n'existe pas."
"Could not save the VAT validation.","Impossible d'enregistrer la validation de TVA."
"Could not delete the VAT validation.","Impossible de supprimer la validation de TVA."
"VAT validation is disabled.","La validation de TVA est désactivée."
"VIES service is temporarily unavailable.","Le service VIES est temporairement indisponible."
"Country code and VAT number must be provided.","Le code pays et le numéro de TVA doivent être fournis."
"VAT validation failed: ","Échec de la validation de TVA : "
"Valid: ","Valide : "
"yes","oui"
"no","non"
"EU VAT Validation Results","Résultats de validation de TVA UE"
"Country Code","Code pays"
"VAT Number","Numéro de TVA"
"Is Valid","Valide"
"Request Date","Date de la demande"
"Name","Nom"
"Address","Adresse"
"Created At","Créé le"
"Are you sure you want to delete this VAT validation?","Voulez-vous vraiment supprimer cette validation de TVA ?"
"Save","Enregistrer"
"Delete","Supprimer"
"ID","ID"
"Country","Pays"
"VAT Number","Numéro de TVA"
"Valid","Valide"
"Actions","Actions"
"Deleting","Suppression"
"Validate","Valider"
