"Product Reviews","Product Review"
"Product Reviews","Avis Produit"
"Manage Reviews","Gérer les avis"
"Write a Review","Rédiger un avis"
"No reviews yet. Be the first to review this product!","Aucun avis pour le moment. Soyez le premier à évaluer ce produit !"
"Is this review helpful?","Cet avis est-il utile ?"
"Verified Purchase","Achat vérifié"
"Your review has been submitted and is pending approval.","Votre avis a été soumis et est en attente d'approbation."
"You must be logged in to submit a review.","Vous devez être connecté pour soumettre un avis."
"Please log in to write a review.","Veuillez vous connecter pour écrire un avis."
"Please fill in all required fields and select a rating.","Veuillez remplir tous les champs obligatoires et sélectionner une note."
"Error submitting review: ","Erreur lors de la soumission de l'avis : "
"Error recording vote: ","Erreur lors de l'enregistrement du vote : "
"Rating","Note"
"Title","Titre"
"Detail","Détail"
"Status","Statut"
"Verified Purchase","Achat vérifié"
"Pending","En attente"
"Approved","Approuvé"
"Rejected","Rejeté"
"5 Stars","5 étoiles"
"4 Stars","4 étoiles"
"3 Stars","3 étoiles"
"2 Stars","2 étoiles"
"1 Star","1 étoile"
"Product ID","ID produit"
"Customer ID","ID client"
"Created At","Créé le"
"Add New Review","Ajouter un nouvel avis"
"Save","Enregistrer"
"Back","Retour"
"Reset","Réinitialiser"
"Edit","Modifier"
"Delete","Supprimer"
"Are you sure you want to delete this review?","Êtes-vous sûr de vouloir supprimer cet avis ?"
"The review has been saved.","L'avis a été enregistré."
"The review has been deleted.","L'avis a été supprimé."
"Product Reviews","Avis Produits"
