"English (United Kingdom)","Deutsch (Deutschland)"
"Default Store View","Standard-Shopansicht"
" French"," Französisch"
" German"," Deutsch"
" Spanish"," Spanisch"
" Italian"," Italienisch"
" Dutch"," Niederländisch"
" Portuguese"," Portugiesisch"
"Belgian Dutch","Belgisch Niederländisch"
"Belgian French","Belgisch Französisch"
" Austrian"," Österreichisch"
" Polish"," Polnisch"
" Swedish"," Schwedisch"
"Swiss German","Schweizerdeutsch"
"Swiss French","Schweizer Französisch"
"Swiss Italian","Schweizer Italienisch"
"Add to Cart","In den Warenkorb"
"Add to Wish List","Zur Wunschliste hinzufügen"
"Add to Compare","Zum Vergleich hinzufügen"
"Share","Teilen"
"Reviews","Bewertungen"
"Search","Suchen"
"My Account","Mein Konto"
"My Cart","Mein Warenkorb"
"Sign In","Anmelden"
"Register","Registrieren"
"Home","Startseite"
"Home Page","Startseite"
"What's New","Neuheiten"
"Women","Damen"
"Men","Herren"
"Sale","Angebote"
"Training Module - Store Info","Trainingsmodul - Shop-Info"
"Store Name:","Shopname:"
"Store ID:","Shop-ID:"
"Store Code:","Shop-Code:"
"Base URL:","Basis-URL:"
"Currency:","Währung:"
"Is Default:","Ist Standard:"
"Yes","Ja"
"No","Nein"
"Proceed to Checkout","Zur Kasse gehen"
"View Cart","Warenkorb ansehen"
"Compare Products","Produkte vergleichen"
"Contact Us","Kontaktieren Sie uns"
"About us","Über uns"
"Customer Service","Kundenservice"
"Newsletter","Newsletter"
"Copyright","Urheberrecht"
"All Rights Reserved","Alle Rechte vorbehalten"
"Advanced Search","Erweiterte Suche"
"Actual Price","Aktueller Preis"
"As low as","Ab"
"Privacy and Cookie Policy","Datenschutz- und Cookie-Richtlinie"
"Orders and Returns","Bestellungen und Rücksendungen"
"Search Terms","Suchbegriffe"
"Create an Account","Konto erstellen"
"Subscribe","Abonnieren"
"Toggle Nav","Navigation umschalten"
"Language","Sprache"
"JavaScript seems to be disabled in your browser.","JavaScript scheint in Ihrem Browser deaktiviert zu sein."
"Hot Sellers","Bestseller"
"New Luma Yoga Collection","Neue Luma Yoga Kollektion"
"Fitness Equipment","Fitness Zubehör"
"Watches","Uhren"
"Tees","T-Shirts"
"Jackets","Jacken"
"Pants","Hosen"
"Shorts","Shorts"
"Tops","Oberteile"
"Tanks","Tanktops"
"Hoodies & Sweatshirts","Kapuzenpullover & Sweatshirts"
"Bags","Taschen"
"Gear","Ausrüstung"
"Training","Training"
"Shop New Yoga","Neues Yoga entdecken"
"Shop Pants","Hosen entdecken"
"Shop Tees","T-Shirts entdecken"
"Shop Performance","Performance entdecken"
"Shop Eco-Friendly","Umweltfreundlich entdecken"
"Shop Erin Recommends","Erins Empfehlungen entdecken"
"Video Download","Video herunterladen"
"Take it from Erin","Erin sagt es Ihnen"
"Even more ways to mix and match","Noch mehr Möglichkeiten zum Kombinieren"
"Science meets performance","Wissenschaft trifft Leistung"
"Get fit and look fab in new seasonal styles","Fitness und Style in den neuen saisonalen Kollektionen"
"Twice around twice as nice","Zweimal so schön"
"Find conscientious comfy clothing in our","Entdecken Sie bewusste bekleidung in unserer"
"Wicking to raingear Luma covers you","Von Feuchtigkeitsableitung bis Regenbekleidung - Luma schützt Sie"
"Buy 3 Luma tees get a 4th free","Kaufen Sie 3 Luma T-Shirts und erhalten Sie das 4. gratis"
