"English (United Kingdom)","Français (France)"
"Default Store View","Vue par défaut"
" French"," Français"
" German"," Allemand"
" Spanish"," Espagnais"
" Italian"," Italien"
" Dutch"," Néerlandais"
" Portuguese"," Portugais"
"Belgian Dutch","Belge Néerlandais"
"Belgian French","Belge Français"
" Austrian"," Autrichien"
" Polish"," Polonais"
" Swedish"," Suédois"
"Swiss German","Suisse Allemand"
"Swiss French","Suisse Français"
"Swiss Italian","Suisse Italien"
"Add to Cart","Ajouter au panier"
"Add to Wish List","Ajouter à la liste de souhaits"
"Add to Compare","Ajouter à la comparaison"
"Share","Partager"
"Reviews","Avis"
"Search","Rechercher"
"My Account","Mon compte"
"My Cart","Mon panier"
"Sign In","Connexion"
"Register","S'inscrire"
"Home","Accueil"
"Home Page","Page d'accueil"
"What's New","Nouveautés"
"Women","Femmes"
"Men","Hommes"
"Sale","Promotions"
"Training Module - Store Info","Module Formation - Info Magasin"
"Store Name:","Nom du magasin :"
"Store ID:","ID du magasin :"
"Store Code:","Code du magasin :"
"Base URL:","URL de base :"
"Currency:","Devise :"
"Is Default:","Est par défaut :"
"Yes","Oui"
"No","Non"
"Proceed to Checkout","Passer à la caisse"
"View Cart","Voir le panier"
"Compare Products","Comparer les produits"
"Contact Us","Contactez-nous"
"About us","À propos"
"Customer Service","Service client"
"Newsletter","Bulletin d'information"
"Copyright","Droits d'auteur"
"All Rights Reserved","Tous droits réservés"
"Advanced Search","Recherche avancée"
"Actual Price","Prix actuel"
"As low as","À partir de"
"Privacy and Cookie Policy","Politique de confidentialité et cookies"
"Orders and Returns","Commandes et retours"
"Search Terms","Termes de recherche"
"Create an Account","Créer un compte"
"Subscribe","S'abonner"
"Toggle Nav","Basculer la navigation"
"Language","Langue"
"JavaScript seems to be disabled in your browser.","JavaScript semble être désactivé dans votre navigateur."
"Hot Sellers","Meilleures ventes"
"New Luma Yoga Collection","Nouvelle collection Luma Yoga"
"Fitness Equipment","Équipement de fitness"
"Watches","Montres"
"Tees","T-shirts"
"Jackets","Vestes"
"Pants","Pantalons"
"Shorts","Shorts"
"Tops","Hauts"
"Tanks","Débardeurs"
"Hoodies & Sweatshirts","Sweats et pulls"
"Bags","Sacs"
"Gear","Équipement"
"Training","Entraînement"
"Shop New Yoga","Voir la nouvelle collection Yoga"
"Shop Pants","Voir les pantalons"
"Shop Tees","Voir les T-shirts"
"Shop Performance","Voir la collection Performance"
"Shop Eco-Friendly","Voir la collection Éco-responsable"
"Shop Erin Recommends","Voir les recommandations d'Erin"
"Video Download","Téléchargement vidéo"
"Take it from Erin","Demandez à Erin"
"Even more ways to mix and match","Encore plus de façons de mixer et assortir"
"Science meets performance","La science au service de la performance"
"Get fit and look fab in new seasonal styles","Soyez en forme et stylé avec les nouvelles collections saisonnières"
"Twice around twice as nice","Deux fois mieux"
"Find conscientious comfy clothing in our","Découvrez nos vêtements responsables et confortables"
"Wicking to raingear Luma covers you","Du évacuation de la sueur aux vêtements imperméables Luma vous couvre"
"Buy 3 Luma tees get a 4th free","Achetez 3 T-shirts Luma et obtenez le 4ème gratuit"
