"English (United Kingdom)","Español (España)"
"Default Store View","Vista de tienda predeterminada"
" French"," Francés"
" German"," Alemán"
" Spanish"," Español"
" Italian"," Italiano"
" Dutch"," Neerlandés"
" Portuguese"," Portugués"
"Belgian Dutch","Neerlandés de Bélgica"
"Belgian French","Francés de Bélgica"
" Austrian"," Austríaco"
" Polish"," Polaco"
" Swedish"," Sueco"
"Swiss German","Alemán de Suiza"
"Swiss French","Francés de Suiza"
"Swiss Italian","Italiano de Suiza"
"Add to Cart","Añadir al carrito"
"Add to Wish List","Añadir a la lista de deseos"
"Add to Compare","Añadir a comparar"
"Share","Compartir"
"Reviews","Reseñas"
"Search","Buscar"
"My Account","Mi cuenta"
"My Cart","Mi carrito"
"Sign In","Iniciar sesión"
"Register","Registrarse"
"Home","Inicio"
"Home Page","Página de inicio"
"What's New","Novedades"
"Women","Mujer"
"Men","Hombre"
"Sale","Ofertas"
"Training Module - Store Info","Módulo de formación - Info tienda"
"Store Name:","Nombre de tienda:"
"Store ID:","ID de tienda:"
"Store Code:","Código de tienda:"
"Base URL:","URL base:"
"Currency:","Moneda:"
"Is Default:","Es predeterminada:"
"Yes","Sí"
"No","No"
"Proceed to Checkout","Proceder al pago"
"View Cart","Ver carrito"
"Compare Products","Comparar productos"
"Contact Us","Contáctenos"
"About us","Sobre nosotros"
"Customer Service","Servicio al cliente"
"Newsletter","Boletín"
"Copyright","Derechos de autor"
"All Rights Reserved","Todos los derechos reservados"
"Advanced Search","Búsqueda avanzada"
"Actual Price","Precio actual"
"As low as","Desde"
"Privacy and Cookie Policy","Política de privacidad y cookies"
"Orders and Returns","Pedidos y devoluciones"
"Search Terms","Términos de búsqueda"
"Create an Account","Crear una cuenta"
"Subscribe","Suscribirse"
"Toggle Nav","Alternar navegación"
"Language","Idioma"
"JavaScript seems to be disabled in your browser.","JavaScript parece estar desactivado en su navegador."
"Hot Sellers","Más vendidos"
"New Luma Yoga Collection","Nueva colección Luma Yoga"
"Fitness Equipment","Equipamiento de fitness"
"Watches","Relojes"
"Tees","Camisetas"
"Jackets","Chaquetas"
"Pants","Pantalones"
"Shorts","Pantalones cortos"
"Tops","Partes superiores"
"Tanks","Tirantes"
"Hoodies & Sweatshirts","Sudaderas con capucha y sudaderas"
"Bags","Bolsos"
"Gear","Equipamiento"
"Training","Entrenamiento"
"Shop New Yoga","Descubrir nuevo Yoga"
"Shop Pants","Descubrir pantalones"
"Shop Tees","Descubrir camisetas"
"Shop Performance","Descubrir Performance"
"Shop Eco-Friendly","Descubrir Eco-responsable"
"Shop Erin Recommends","Descubrir recomendaciones de Erin"
"Video Download","Descargar vídeo"
"Take it from Erin","Pregúntale a Erin"
"Even more ways to mix and match","Aún más formas de combinar"
"Science meets performance","La ciencia al servicio del rendimiento"
"Get fit and look fab in new seasonal styles","En forma y elegante con las nuevas colecciones de temporada"
"Twice around twice as nice","Dos veces mejor"
"Find conscientious comfy clothing in our","Descubre nuestra ropa responsable y cómoda"
"Wicking to raingear Luma covers you","Desde evacuation del sudor hasta impermeables - Luma te cubre"
"Buy 3 Luma tees get a 4th free","Compra 3 camisetas Luma y llévate la 4ª gratis"
