"Store Locator","Localisateur de magasins"
"Find a Store","Trouver un magasin"
"Visit us in one of our stores and discover our products.","Rendez-vous dans l'un de nos magasins et découvrez nos produits."
"Search by store name or city","Rechercher par nom de magasin ou ville"
"Search stores","Rechercher des magasins"
"Phone:","Téléphone :"
"Opening Hours:","Horaires d'ouverture :"
"View on Map","Voir sur la carte"
"No stores match your search.","Aucun magasin ne correspond à votre recherche."
"No stores available at the moment.","Aucun magasin n'est disponible pour le moment."
"store found","magasin trouvé"
"stores found","magasins trouvés"
"Add New Store","Ajouter un magasin"
"Source Code","Code source"
"City","Ville"
"Status","Statut"
"Action","Action"
"Active","Actif"
"Inactive","Inactif"
"Edit","Modifier"
"Store Information","Informations du magasin"
"Store Name","Nom du magasin"
"Street","Rue"
"Region","Région"
"Postcode","Code postal"
"Country Code","Code pays"
"Latitude","Latitude"
"Longitude","Longitude"
"Opening Hours","Horaires d'ouverture"
"Save Store","Enregistrer le magasin"
"Cancel","Annuler"
"Delete Store","Supprimer le magasin"
"Delete this store?","Supprimer ce magasin ?"
"Edit Store","Modifier le magasin"
"New Store","Nouveau magasin"
"This store no longer exists.","Ce magasin n'existe plus."
"Source Code must contain only letters, numbers, underscores, or hyphens.","Le code source ne peut contenir que des lettres, des chiffres, des traits de soulignement ou des tirets."
"Store Name is required.","Le nom du magasin est obligatoire."
"The store has been saved.","Le magasin a été enregistré."
"The store could not be saved.","Le magasin n'a pas pu être enregistré."
"The store ID is missing.","L'identifiant du magasin est manquant."
"The store has been deleted.","Le magasin a été supprimé."
"The store could not be deleted.","Le magasin n'a pas pu être supprimé."
