"English (United Kingdom)","Deutsch (Deutschland)"
"Default Store View","Standard-Standortansicht"
" French"," Französisch"
" German"," Deutsch"
" Spanish"," Spanisch"
" Italian"," Italienisch"
" Dutch"," Niederländisch"
" Portuguese"," Portugiesisch"
"Belgian Dutch","Belgisch Niederländisch"
"Belgian French","Belgisch Französisch"
" Austrian"," Österreichisch"
" Polish"," Polnisch"
" Swedish"," Schwedisch"
"Swiss German","Schweizer Deutsch"
"Swiss French","Schweizer Französisch"
"Swiss Italian","Schweizer Italienisch"
"Add to Cart","In den Warenkorb"
"Add to Wish List","Zur Wunschliste hinzufügen"
"Share","Teilen"
"Reviews","Bewertungen"
"Search","Suchen"
"My Account","Mein Konto"
"Sign In","Anmelden"
"Register","Registrieren"
"Home","Startseite"
"What's New","Neuheiten"
"Women","Damen"
"Men","Herren"
"Sale","Angebote"
"Training Module - Store Info","Trainingsmodul - Store-Info"
"Store Name:","Store-Name:"
"Store ID:","Store-ID:"
"Store Code:","Store-Code:"
"Base URL:","Basis-URL:"
"Currency:","Währung:"
"Is Default:","Standard:"
"Yes","Ja"
"No","Nein"
"Proceed to Checkout","Zur Kasse"
"View Cart","Warenkorb anzeigen"
"Compare Products","Produkte vergleichen"
"Contact Us","Kontaktieren Sie uns"
"Newsletter","Newsletter"
"Copyright","Urheberrecht"
"All Rights Reserved","Alle Rechte vorbehalten"
