"English (United Kingdom)","Español (España)"
"Default Store View","Vista de tienda predeterminada"
" French"," Francés"
" German"," Alemán"
" Spanish"," Español"
" Italian"," Italiano"
" Dutch"," Holandés"
" Portuguese"," Portugués"
"Belgian Dutch","Holandés de Bélgica"
"Belgian French","Francés de Bélgica"
" Austrian","Austríaco"
" Polish"," Polaco"
" Swedish"," Sueco"
"Swiss German","Alemán de Suiza"
"Swiss French","Francés de Suiza"
"Swiss Italian","Italiano de Suiza"
"Add to Cart","Añadir al carrito"
"Add to Wish List","Añadir a la lista de deseos"
"Share","Compartir"
"Reviews","Reseñas"
"Search","Buscar"
"My Account","Mi cuenta"
"Sign In","Iniciar sesión"
"Register","Registrarse"
"Home","Inicio"
"What's New","Novedades"
"Women","Mujeres"
"Men","Hombres"
"Sale","Ofertas"
"Add to Cart","Agregar al carrito"
"Proceed to Checkout","Proceder al pago"
"View Cart","Ver carrito"
"Contact Us","Contáctenos"
"Copyright","Derechos de autor"
"All Rights Reserved","Todos los derechos reservados"
