"English (United Kingdom)","Français (France)"
"Default Store View","Vue par défaut"
" French"," Français"
" German"," Allemand"
" Spanish"," Espagnol"
" Italian"," Italien"
" Dutch"," Néerlandais"
" Portuguese"," Portugais"
"Belgian Dutch","Belge Néerlandais"
"Belgian French","Belge Français"
" Austrian"," Autrichien"
" Polish"," Polonais"
" Swedish"," Suédois"
"Swiss German","Suisse Allemand"
"Swiss French","Suisse Français"
"Swiss Italian","Suisse Italien"
"Add to Cart","Ajouter au panier"
"Add to Wish List","Ajouter à la liste de souhaits"
"Share","Partager"
"Reviews","Avis"
"Search","Rechercher"
"My Account","Mon compte"
"Sign In","Connexion"
"Register","S'inscrire"
"Home","Accueil"
"What's New","Nouveautés"
"Women","Femmes"
"Men","Hommes"
"Sale","Promotions"
"Training Module - Store Info","Module Formation - Info Magasin"
"Store Name:","Nom du magasin :"
"Store ID:","ID du magasin :"
"Store Code:","Code du magasin :"
"Base URL:","URL de base :"
"Currency:","Devise :"
"Is Default:","Est par défaut :"
"Yes","Oui"
"No","Non"
"Proceed to Checkout","Passer à la caisse"
"View Cart","Voir le panier"
"Compare Products","Comparer les produits"
"Contact Us","Contactez-nous"
"Newsletter","Bulletin d'information"
"Copyright","Droits d'auteur"
"All Rights Reserved","Tous droits réservés"
