"English (United Kingdom)","Italiano (Italia)"
"Default Store View","Vista negozio predefinita"
" French"," Francese"
" German"," Tedesco"
" Spanish"," Spagnolo"
" Italian"," Italiano"
" Dutch"," Olandese"
" Portuguese"," Portoghese"
"Belgian Dutch","Olandese del Belgio"
"Belgian French","Francese del Belgio"
" Austrian","Austriaco"
" Polish"," Polacco"
" Swedish"," Svedese"
"Swiss German","Tedesco svizzero"
"Swiss French","Francese svizzero"
"Swiss Italian","Italiano svizzero"
"Add to Cart","Aggiungi al carrello"
"Add to Wish List","Aggiungi alla lista dei desideri"
"Share","Condividi"
"Reviews","Recensioni"
"Search","Cerca"
"My Account","Il mio account"
"Sign In","Accedi"
"Register","Registrati"
"Home","Home"
"What's New","Novità"
"Women","Donne"
"Men","Uomini"
"Sale","Offerte"
"Proceed to Checkout","Procedi al pagamento"
"View Cart","Visualizza carrello"
"Contact Us","Contattaci"
"Copyright","Diritti d'autore"
"All Rights Reserved","Tutti i diritti riservati"
